City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Saint-Augustin,CA,51.226,-58.6502,34.21,99,100,12.95,snow
227,Nanortalik,GL,60.1432,-45.2371,29.41,89,45,9.91,scattered clouds
228,Inuvik,CA,68.3499,-133.7218,23.86,40,40,6.91,scattered clouds
229,Mocuba,MZ,-16.8392,36.9856,71.38,94,99,3.91,overcast clouds
230,Zeya,RU,53.75,127.2667,41.72,32,100,9.17,overcast clouds
231,Luderitz,NA,-26.6481,15.1594,68.79,47,0,8.79,clear sky
232,Hualmay,PE,-11.0964,-77.6139,66.54,84,31,7.45,scattered clouds
233,Grand Gaube,MU,-20.0064,57.6608,77.4,91,16,3.0,few clouds
234,Abrau-Dyurso,RU,44.69,37.59,49.46,63,100,2.98,overcast clouds
235,Mackay,AU,-21.15,149.2,83.68,73,12,18.41,few clouds
236,Irshava,UA,48.3167,23.0385,31.73,75,11,4.61,few clouds
237,Wanaka,NZ,-44.7,169.15,62.11,52,0,1.99,clear sky
238,Llandrindod Wells,GB,52.2416,-3.3787,46.29,98,8,6.71,clear sky
239,Yichun,CN,47.7,128.9,46.4,24,14,9.6,few clouds
240,Wyndham,US,37.6985,-77.6125,53.46,46,0,7.0,clear sky
241,Ljubinje,BA,42.9508,18.0886,48.83,61,100,12.24,overcast clouds
242,Bereda,ES,43.2686,-7.5406,51.42,95,100,4.54,overcast clouds
243,Athabasca,CA,54.7169,-113.2854,34.54,51,98,2.08,overcast clouds
244,Ginir,ET,7.1333,40.7,57.56,77,75,4.12,broken clouds
245,Kaifeng,CN,34.7911,114.3483,68.7,28,56,15.46,broken clouds
246,Bathsheba,BB,13.2167,-59.5167,79.41,73,40,14.97,scattered clouds
247,Naze,JP,28.3667,129.4833,70.72,59,41,8.57,scattered clouds
248,Parana,AR,-31.732,-60.5238,64.56,77,7,5.95,clear sky
249,Katsuura,JP,35.1333,140.3,62.83,67,100,10.74,overcast clouds
250,Le Port,RE,-20.9373,55.2919,75.2,91,7,2.89,clear sky
251,Devonport,AU,-41.1667,146.35,61.09,68,100,4.99,light rain
252,Laakirchen,AT,47.9819,13.8217,36.28,89,52,1.63,broken clouds
253,Lotoshino,RU,56.2267,35.6414,28.33,85,16,6.96,few clouds
254,Provideniya,RU,64.3833,-173.3,32.36,86,100,25.01,snow
255,Kochevo,RU,59.5994,54.3125,21.04,90,41,2.46,scattered clouds
256,Boden,SE,65.8252,21.6886,32.0,100,100,2.44,overcast clouds
257,Whitianga,NZ,-36.8333,175.7,63.12,87,100,19.57,overcast clouds
258,Beeville,US,28.4008,-97.7483,78.98,65,0,5.75,clear sky
259,Leeton,AU,-34.5667,146.4,81.9,34,40,13.8,scattered clouds
260,Tabuk,PH,17.4189,121.4443,83.21,64,97,2.33,overcast clouds
261,Clyde,US,41.3042,-82.9752,37.58,70,95,9.93,overcast clouds
262,Nantucket,US,41.2835,-70.0995,44.71,57,0,9.22,clear sky
263,Farah,AF,32.5,62.5,59.32,68,16,3.83,light rain
264,Narsaq,GL,60.9167,-46.05,34.02,90,47,2.42,scattered clouds
265,Moorhead,US,46.8739,-96.7676,33.98,81,100,17.27,overcast clouds
266,San Carlos De Bariloche,AR,-41.1456,-71.3082,55.15,58,75,4.61,broken clouds
267,Saint George,US,37.1041,-113.5841,81.19,12,0,11.5,clear sky
268,Kungurtug,RU,50.5994,97.5228,44.01,53,2,0.78,clear sky
269,Sur,OM,22.5667,59.5289,84.69,47,0,8.57,clear sky
270,Kjopsvik,NO,68.097,16.3742,42.17,87,100,5.95,overcast clouds
271,Kota Tinggi,MY,1.7381,103.8999,79.03,77,100,6.38,overcast clouds
272,Ler,SS,8.3018,30.1418,81.37,49,37,3.6,scattered clouds
273,Yellowknife,CA,62.456,-114.3525,19.92,49,20,12.66,few clouds
274,Mollendo,PE,-17.0231,-72.0147,66.52,78,84,6.22,broken clouds
275,Alta Floresta,BR,-9.8756,-56.0861,72.1,96,100,2.46,overcast clouds
276,Mayo,US,38.8876,-76.5119,50.13,45,0,7.0,clear sky
277,Samarai,PG,-10.6167,150.6667,81.66,81,100,10.54,overcast clouds
278,Neyshabur,IR,36.2133,58.7958,53.4,70,100,2.84,overcast clouds
279,Fortuna,US,40.5982,-124.1573,56.32,50,0,11.5,clear sky
280,Bengkulu,ID,-3.8004,102.2655,78.87,87,65,3.85,broken clouds
281,Kushiro,JP,42.975,144.3747,49.15,71,40,11.5,scattered clouds
282,Manono,CD,-7.3,27.4167,67.91,95,4,2.84,clear sky
283,Souillac,MU,-20.5167,57.5167,77.38,94,75,5.75,shower rain
284,Bad Kreuznach,DE,49.8333,7.8667,46.98,78,0,4.14,clear sky
285,Vostok,RU,46.4856,135.8833,38.77,51,99,9.57,overcast clouds
286,Hobyo,SO,5.3505,48.5268,82.8,78,100,14.07,overcast clouds
287,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.4,93,100,16.11,overcast clouds
288,Lithakia,GR,37.7167,20.8333,51.17,76,94,7.18,overcast clouds
289,Auki,SB,-8.7676,160.7034,84.92,66,86,4.03,light rain
290,Aklavik,CA,68.2191,-135.0107,21.02,81,99,12.08,overcast clouds
291,Blagoyevo,RU,63.3667,47.9167,32.61,98,100,3.22,overcast clouds
292,Ondangwa,NA,-17.9167,15.95,71.58,66,39,7.47,scattered clouds
